TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
53,84,,,,,,,,,,27-Sep-2023 03:31:46,27-Sep-2023 03:35:46,27-Sep-2023 03:33:44,12163.5383532542,-5.98775023209943,12163.5383532542,-5.98775023209943,12164.4804039003,3.9677779095948,25.3032010749911,-172.0017132257,12155.4669264048,14.8653566974508,12154.5248757586,4.90982855575656,12156.408977051,24.820884839145,25.3033893264514,-172.001793376706,1140,1140,1150,1160,1150,1170
62,79,86,102,112,120,,,,,,27-Sep-2023 03:31:34,27-Sep-2023 03:37:40,27-Sep-2023 03:34:09,12357.5546847153,558.244172939905,12356.6126340691,548.288644798211,12359.4387860076,578.155229223294,25.3082946796897,-171.999786601761,12352.3094098044,608.963864294538,12348.5412072197,569.141751727761,12355.1355617429,638.830448719621,25.3087525517944,-171.99983868847,1720,1710,1740,1770,1730,1800
56,57,78,81,99,,,,,,,27-Sep-2023 03:31:09,27-Sep-2023 03:36:04,27-Sep-2023 03:34:09,12282.2136838464,505.105358612871,12280.3295825541,485.194302329482,12283.1557344926,515.060886754565,25.307814968948,-172.000534754119,12295.5303856067,433.532560328688,12293.6462843144,413.621504045299,12297.414486899,453.443616612076,25.3071688453831,-172.000402516404,1660,1640,1670,1590,1570,1610
39,49,71,82,88,103,129,131,,,,27-Sep-2023 03:29:57,27-Sep-2023 03:40:04,27-Sep-2023 03:35:38,12676.7127085778,1914.20809421664,12673.8865566393,1884.34150979156,12680.4809111624,1954.03020678342,25.3205356464214,-171.996617293878,12713.173647526,1981.07063927002,12708.4633942952,1931.29299856155,12717.8839007568,2030.84827997849,25.3211392481668,-171.996255228905,3100,3070,3140,3170,3120,3220
63,74,87,101,107,113,,,,,,27-Sep-2023 03:31:34,24-Jun-4047 07:11:21,27-Sep-2023 03:32:39,12044.37410263,1070.02334700305,12040.6059000454,1030.20123443627,12048.1423052147,1109.84545956983,25.3129147671016,-172.002896552361,12019.3457641498,911.676947382102,12015.5775615651,871.854834815325,12022.1719160882,941.543531807185,25.311485294695,-172.00314508915,2200,2160,2240,2040,2000,2070
59,83,85,,,,,,,,,27-Sep-2023 03:31:32,27-Sep-2023 03:34:29,27-Sep-2023 03:34:11,12797.0622566826,4353.71951789782,12746.1915217898,3816.12099824633,12859.2375993292,5010.78437524964,25.3425583401747,-171.995422196957,12835.6863331752,4761.89617170729,12776.337142467,4134.69789878055,12904.456030345,5488.64972605097,25.3462431556491,-171.995038651562,5540,5000,6200,5950,5320,6680
58,73,89,108,109,,,,,,,27-Sep-2023 03:31:32,24-Jun-4047 07:11:32,27-Sep-2023 03:31:40,11710.0613773632,1252.32804174412,11704.4090734862,1192.59487289395,11715.7136812401,1312.06121059429,25.3145605230604,-172.006216349692,11692.1624150861,1063.17300705193,11684.6260099168,983.528781918375,11701.5829215477,1162.72828846887,25.3128529256454,-172.006394090241,2350,2290,2410,2160,2080,2260
76,77,80,105,111,,,,,,,27-Sep-2023 03:32:26,24-Jun-4047 07:05:05,27-Sep-2023 03:35:15,12598.7554395502,-77.3045630882941,12596.8713382579,-97.2156193716826,12601.5815914887,-47.4379786632112,25.3025572623351,-171.997391426341,12585.0317088239,-116.18462500891,12583.1476075316,-136.095681292298,12587.8578607624,-86.3180405838268,25.3022062725064,-171.997527705942,1110,1090,1140,1070,1050,1100
75,91,110,127,130,132,133,137,141,,,27-Sep-2023 03:32:29,24-Jun-4047 07:20:19,27-Sep-2023 03:36:07,13156.7181460994,1467.00033494847,13153.8919941609,1437.13375052338,13158.6022473917,1486.91139123186,25.3164984775724,-171.99185073655,13083.796268203,1333.27524484172,13081.9121669107,1313.36418855833,13086.6224201415,1363.1418292668,25.3152912740816,-171.992574866495,2700,2670,2720,2560,2540,2590
67,95,98,118,124,,,,,,,27-Sep-2023 03:32:04,27-Sep-2023 03:39:26,27-Sep-2023 03:36:00,12835.0130065505,402.572881719348,12834.0709559044,392.617353577654,12836.8971078428,422.483938002737,25.306889356829,-171.995045337841,12825.5925000889,303.017600302405,12824.6504494427,293.062072160711,12829.3607026735,342.839712869182,25.3059906213474,-171.995138885498,1610,1600,1630,1510,1500,1550
93,96,114,115,136,,,,,,,27-Sep-2023 03:34:33,27-Sep-2023 03:41:24,27-Sep-2023 03:38:06,13777.2171226131,2292.21607652483,13769.6807174438,2212.57185139128,13785.6955784286,2381.81582980008,25.3239481141597,-171.985689048135,13671.195479387,2020.99769372669,13663.6590742178,1941.35346859313,13679.6739352025,2110.59744700194,25.3214996897225,-171.986741865876,3580,3500,3670,3300,3220,3390
92,94,97,116,119,126,135,139,140,142,152,27-Sep-2023 03:34:29,24-Jun-4047 07:09:24,27-Sep-2023 03:39:51,14184.9636966324,1399.8357028189,14183.0795953401,1379.92464653551,14186.8477979247,1419.74675910229,25.3158921487353,-171.981640036877,14162.3544811245,1160.90302741824,14162.3544811245,1160.90302741824,14162.3544811245,1160.90302741824,25.3137351835796,-171.981864551254,2730,2710,2750,2490,2490,2490
100,106,122,,,,,,,,,27-Sep-2023 03:35:27,27-Sep-2023 03:37:31,27-Sep-2023 03:36:19,12881.1504373883,147.09032365386,12875.4981335114,87.3571548036943,12887.7447919115,216.77902064572,25.3045829875777,-171.99458718322,12898.6423706993,225.792498141252,12879.8013577761,26.681935307367,12909.0049278071,335.303307699889,25.3052934715991,-171.994413484557,1360,1300,1430,1440,1240,1550
65,125,128,143,145,,,,,,,27-Sep-2023 03:31:39,27-Sep-2023 03:44:53,27-Sep-2023 03:33:21,12078.9382016924,5044.44221308347,12066.6915432923,4915.02034724145,12091.1848600925,5173.8640789255,25.3487938405445,-172.002553323417,12293.4825021828,3808.73563661513,12285.0040463673,3719.13588333988,12301.9609579982,3898.33538989038,25.3376384972088,-172.000422852327,6160,6030,6290,4950,4860,5040
123,134,146,147,155,,,,,,,27-Sep-2023 03:37:28,27-Sep-2023 03:47:21,27-Sep-2023 03:42:39,14925.1849962744,1791.84645210552,14920.4747430436,1742.06881139705,14929.8952495052,1841.62409281399,25.3194310264777,-171.974289480021,14910.3912221879,1953.96105431112,14894.3763612032,1784.71707590231,14919.8117286496,2053.51633572806,25.3208945163399,-171.974436385382,3190,3140,3240,3350,3180,3450
121,138,148,149,153,160,161,162,,,,27-Sep-2023 03:37:26,24-Jun-4047 07:31:03,27-Sep-2023 03:43:56,15197.3454297187,1695.78033702114,15193.5772271341,1655.95822445436,15201.1136323034,1735.60244958791,25.3185637894515,-171.971586868327,15194.6472704943,1454.96356032815,15189.9370172634,1405.18591961968,15200.2995743712,1514.69672917832,25.3163898155679,-171.971613661629,3120,3080,3160,2880,2830,2940
156,164,169,,,,,,,,,27-Sep-2023 03:47:05,27-Sep-2023 03:55:59,27-Sep-2023 03:54:13,18415.8532730727,2907.97143675303,18401.7225133803,2758.63851462761,18430.9260834113,3067.25988702013,25.3295068467787,-171.939626392578,18445.5918647838,3116.09547708244,18413.5621428143,2777.60752026484,18470.085181584,3374.93920876649,25.3313856869261,-171.93933108196,4630,4480,4790,4840,4500,5100
