TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
47,54,63,64,,,,,03-Nov-2017 01:36:25,07-Sep-4035 03:20:27,03-Nov-2017 01:38:59,3986.19486154427,-150.194963994803,3969.08968614018,-174.840713616094,4003.30003694836,-125.549214373512,23.8660857097098,-173.742527982434,3944.44393651889,-157.735538212005,3921.6370359801,-190.59653770706,3967.25083705767,-124.874538716951,23.8660176240428,-173.742937877812,2150,2120,2180,2120,2080,2160
60,73,81,,,,,,03-Nov-2017 01:39:13,03-Nov-2017 01:42:27,03-Nov-2017 01:39:54,3544.46332354642,-926.96600383734,3527.35814814233,-951.611753458631,3567.27022408521,-894.105004342285,23.8590720562605,-173.746864741819,3535.5733980161,-957.313478593327,3507.06477234262,-998.389727962146,3564.08202368958,-916.237229224509,23.8587980415765,-173.74695201987,1260,1230,1300,1230,1180,1280
62,75,76,91,,,,,03-Nov-2017 01:39:45,07-Sep-4035 03:23:37,03-Nov-2017 01:40:59,4197.58215340526,-564.701191740145,4174.77525286648,-597.5621912352,4226.09077907875,-523.624942371327,23.8623430328013,-173.740452658978,4177.28877760555,-611.47916624366,4143.07842679737,-660.770665486243,4211.49912841372,-562.187667001078,23.8619206631642,-173.740651891952,1930,1890,1980,1880,1820,1940
57,65,66,80,108,,,,03-Nov-2017 01:39:04,03-Nov-2017 01:46:02,03-Nov-2017 01:42:54,4688.65829674858,-856.838524922771,4677.25484647919,-873.269024670298,4700.06174701797,-840.408025175243,23.8597052542161,-173.735631452226,4701.90059610048,-890.374200074386,4684.79542069639,-915.019949695677,4719.00577150457,-865.728450453095,23.8594024525002,-173.735501444153,1970,1950,1990,1950,1920,1980
58,68,93,96,106,,,,03-Nov-2017 01:39:06,03-Nov-2017 01:45:24,03-Nov-2017 01:44:12,5736.17515644023,-171.850620896901,5701.96480563205,-221.142120139484,5776.0872323831,-114.343871780556,23.8658901755499,-173.725347313147,5699.45128089298,-207.225145131023,5585.41677819906,-371.530142606297,5819.1875087216,-34.7048977819857,23.8655707704212,-173.725707854784,3130,3070,3200,3080,2880,3290
78,82,94,,,,,,03-Nov-2017 01:42:07,03-Nov-2017 01:43:35,03-Nov-2017 01:42:39,4117.32160985302,-1592.34813750931,4083.11125904484,-1641.6396367519,4162.93541093059,-1526.6261385192,23.8530641601656,-173.741240627768,4134.42678525711,-1567.70238788802,4077.40953391015,-1649.85488662566,4191.44403660407,-1485.54988915039,23.8532866925953,-173.741072695385,1040,980,1120,1070,970,1170
79,105,,,,,,,03-Nov-2017 01:42:06,03-Nov-2017 01:45:37,14-Jul-1916 00:00:00,4728.58330248071,831.77214480465,4643.05742546027,708.543396698195,4819.81090463585,963.216142784869,23.8749521280576,-173.735239483058,4777.38530395391,919.626368676983,4623.43872531711,697.814622085364,4919.92843232131,1125.00761552108,23.8757453850776,-173.734760362779,3380,3230,3540,3480,3210,3730
84,85,97,,,,,,03-Nov-2017 01:42:28,03-Nov-2017 01:44:38,03-Nov-2017 01:44:02,4381.3737792394,-1860.81871660942,4358.56687870062,-1893.67971610447,4398.47895464349,-1836.17296698812,23.8506400744227,-173.738648259722,4349.6769531703,-1924.02719086046,4332.57177776621,-1948.67294048175,4378.18557884378,-1882.95094149164,23.8500693498325,-173.738959447618,970,930,1000,900,870,950
72,74,77,101,107,113,114,121,03-Nov-2017 01:41:10,07-Sep-4035 03:31:32,03-Nov-2017 01:45:19,5187.76451207848,-1312.79135781129,5176.36106180909,-1329.22185755881,5199.16796234787,-1296.36085806376,23.8555883458929,-173.730731409151,5190.95271247411,-1290.65913292906,5173.84753707002,-1315.30488255035,5208.0578878782,-1266.01338330777,23.8557881831003,-173.730700108561,1880,1860,1900,1900,1870,1930
88,,,,,,,,03-Nov-2017 01:43:30,03-Nov-2017 01:44:42,03-Nov-2017 01:44:16,4128.96334411248,-2452.50188540758,3741.24603495314,-3011.13887682351,4128.96334411248,-2452.50188540758,23.8452976240933,-173.74112633346,4117.55989384308,-2468.93238515511,3752.64948522253,-2994.70837707598,4117.55989384308,-2468.93238515511,23.8451492691401,-173.741238288382,340,-340,340,320,-320,320
