TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
106,118,,,,,08-Oct-2017 21:03:04,08-Oct-2017 21:11:24,14-Jul-1916 00:00:00,16987.5398274583,-5103.74833111575,16911.0403560272,-5244.27530671393,17073.6017328182,-4945.65548356781,21.7249806040315,-158.589567891823,17188.4551692053,-4860.16461768094,17102.3932638453,-5018.25746522888,17284.0795084941,-4684.50589818322,21.7271805648903,-158.587625343604,3640,3480,3820,3950,3770,4150
99,120,124,129,130,,08-Oct-2017 21:02:22,18-Jul-4035 18:28:42,08-Oct-2017 21:12:23,16756.2739587762,-5319.42424071792,16741.9303078829,-5345.77304864258,16770.6176096695,-5293.07543279327,21.7230326964615,-158.591803883845,16612.837449843,-5582.9123199645,16593.7125819852,-5618.04406386404,16636.7435346652,-5538.99764009007,21.7206529664995,-158.593190698473,3340,3310,3370,3040,3000,3090
131,132,136,,,,08-Oct-2017 21:14:22,08-Oct-2017 21:17:38,08-Oct-2017 21:17:34,18517.4838055076,-5116.84123112347,18417.0782492544,-5301.28288659607,18627.4517956897,-4914.83370370109,21.7248623536479,-158.574775641894,18621.8910807713,-4945.96372859019,18473.6733548736,-5218.23474381165,18765.3275897045,-4682.47564934362,21.72640565805,-158.573766181069,4360,4150,4590,4560,4250,4860
134,138,142,146,,,08-Oct-2017 21:16:14,08-Oct-2017 21:20:01,08-Oct-2017 21:17:59,19762.005089659,-3562.72837380126,19503.8193735792,-4037.0069164451,20072.7841923476,-2991.83753543368,21.7388985443609,-158.562742998776,19768.3453025314,-3509.25125999795,19462.3474168072,-4071.35916239065,20136.4990087934,-2832.96518993174,21.7393815304996,-158.562681698484,6320,5780,6970,6370,5730,7140
150,159,166,169,176,178,08-Oct-2017 21:21:10,08-Oct-2017 21:30:52,08-Oct-2017 21:23:27,21438.9204854194,-3724.14322894711,21343.2961461306,-3899.80194844483,21544.1072586371,-3530.91863749962,21.7374407032009,-158.546529756985,21476.2864939404,-3550.92723255184,21304.1626832206,-3867.11292764774,21638.8478707314,-3252.30740940573,21.739005128042,-158.546168484059,6980,6780,7200,7150,6790,7490
144,171,187,,,,08-Oct-2017 21:19:42,08-Oct-2017 21:35:00,08-Oct-2017 21:28:23,22882.8524513795,-2995.88470501583,22739.4159424463,-3259.37278426241,23035.8513942416,-2714.83075381949,21.7440180733591,-158.53256911344,22933.8868420804,-2943.96658712051,22690.0447768939,-3391.89632183969,23196.8537751246,-2460.90510850179,21.7444869792052,-158.532075687881,8310,8010,8630,8380,7870,8930
143,162,170,,,,08-Oct-2017 21:19:41,08-Oct-2017 21:28:23,14-Jul-1916 00:00:00,23576.8629586057,-4523.64431171436,23414.3015818147,-4822.26413486048,23758.5492032544,-4189.8927446687,21.7302198957672,-158.52585907894,23773.6723521018,-4141.19684782983,23314.6755235154,-4984.35870141887,24065.3265869326,-3605.43775336179,21.7336740242852,-158.523956229046,7300,6960,7680,7730,6770,8340
163,172,179,,,,08-Oct-2017 21:25:44,08-Oct-2017 21:30:07,08-Oct-2017 21:30:03,24061.3747611929,-2692.42932893553,23468.5038576023,-3781.51338982138,24520.3715897792,-1849.26747534649,21.7467587736316,-158.521174580827,24167.3410323646,-2476.85764857383,23445.3772707341,-3803.08098078159,24511.5886538043,-1844.48625838205,21.7487057398404,-158.520150046864,9140,7900,10100,9380,7870,10100
164,173,180,181,184,,08-Oct-2017 21:26:06,08-Oct-2017 21:34:22,08-Oct-2017 21:28:39,22404.2140514321,-5171.86845543673,22294.24606125,-5373.87598285911,22528.5256925076,-4943.5121200897,21.7243653674662,-158.537196824611,22512.6230457063,-5014.55510584278,22345.2804519508,-5321.95786496379,22675.1844224972,-4715.93528269666,21.7257861652971,-158.536148673201,6170,5940,6430,6360,6010,6700
110,114,121,,,,08-Oct-2017 21:03:39,08-Oct-2017 21:11:05,08-Oct-2017 21:11:05,15980.5702888917,-5363.96429603516,15951.882987105,-5416.66191188447,16014.0388076427,-5302.48374421096,21.7226304266342,-158.599303767972,15749.617107931,-5955.53899816849,15725.7110231088,-5999.45367804292,15783.0856266821,-5894.05844634429,21.7172875358003,-158.601536736776,2930,2870,3000,2300,2250,2370
