TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
33,38,46,52,,,,,,,05-Nov-2017 18:48:53,05-Nov-2017 18:52:21,05-Nov-2017 18:52:07,6240.52176852659,817.279290209849,6214.38835864891,720.754449426943,6266.65517840426,913.804130992756,22.7164222085755,-165.947362542018,6230.06840457552,778.669353896687,6203.93499469784,682.14451311378,6261.42849642873,894.499162836175,22.716073538102,-165.947464285158,2420,2320,2520,2380,2280,2500
26,,,,,,,,,,05-Nov-2017 18:48:12,05-Nov-2017 18:49:06,14-Jul-1916 00:00:00,5898.68042642252,702.629838277056,5794.14678691183,316.530475145429,6071.16093161516,1339.69378744424,22.7153868564742,-165.950689701749,5911.74713136136,750.89225866851,5794.14678691183,316.530475145429,6097.29434149284,1436.21862822715,22.7158226945661,-165.950562522824,2220,1820,2880,2270,1820,2980
27,31,,,,,,,,,05-Nov-2017 18:48:15,05-Nov-2017 18:50:46,05-Nov-2017 18:50:14,5398.64756667628,-187.632560779537,5390.80754371298,-216.590013014409,5406.48758963959,-158.675108544665,22.7073472624769,-165.955556547828,5383.76840062246,-204.324187948351,5373.31503667139,-242.934124261514,5394.22176457353,-165.714251635189,22.707196527249,-165.955701367532,1230,1200,1260,1210,1170,1250
30,,,,,,,,,,05-Nov-2017 18:49:34,05-Nov-2017 18:51:49,05-Nov-2017 18:50:57,5455.00263700542,-783.05182990693,5452.38929601765,-792.704313985221,5457.61597799318,-773.39934582864,22.7019702756616,-165.955008040969,5449.77595502988,-802.356798063512,5447.16261404211,-812.009282141802,5455.00263700542,-783.05182990693,22.7017959404248,-165.955058912539,670,660,680,650,640,670
40,44,56,57,65,,,,,,05-Nov-2017 18:49:51,05-Nov-2017 18:54:01,14-Jul-1916 00:00:00,8000.05706087245,3107.02503045905,7926.88351321496,2836.75547626691,8086.29731346877,3425.55700504265,22.7370999617055,-165.930236892633,7980.75209271586,3112.25171243459,7873.6051122174,2716.49986522467,8090.51241420209,3517.6560437228,22.7371471617232,-165.930424788901,5090,4810,5420,5090,4680,5510
47,53,59,70,,,,,,,05-Nov-2017 18:50:57,05-Nov-2017 18:54:03,05-Nov-2017 18:52:16,6712.14542893635,2367.9150059541,6628.5185173278,2059.0355154488,6808.83904548374,2725.05691685086,22.7304253627079,-165.942772204169,6702.49294485806,2370.52834694187,6603.1859873229,2003.73395196682,6825.31997128313,2824.19509862153,22.7304489627167,-165.942866152303,4040,3720,4410,4040,3660,4510
49,58,66,,,,,,,,05-Nov-2017 18:51:54,05-Nov-2017 18:54:02,05-Nov-2017 18:54:02,8587.59545477629,6004.16131232238,8195.59430661119,4556.28870057878,9125.94369825637,7992.57303245026,22.7632628092947,-165.924518350596,8493.30447784724,5770.68923332842,8088.2366247433,4274.55420119336,9096.9862460215,8000.41305541357,22.761154418862,-165.925436089625,8040,6540,10100,7790,6240,10100
19,,,,,,,,,,05-Nov-2017 18:51:51,05-Nov-2017 18:53:09,05-Nov-2017 18:52:38,5885.57072253404,-1220.78590868561,5697.41017141479,-1915.76476232254,5885.57072253404,-1220.78590868561,22.6980172790216,-165.950817299186,5882.95738154627,-1230.4383927639,5700.02351240255,-1906.11227824425,5882.95738154627,-1230.4383927639,22.6979301114032,-165.950842734971,360,-360,360,350,-350,350
35,80,,,,,,,,,05-Nov-2017 18:52:31,05-Nov-2017 18:54:05,05-Nov-2017 18:52:58,6050.25313036832,-1109.97208035223,6047.63978938056,-1119.62456443052,6052.86647135609,-1100.31959627394,22.6990179931819,-165.949214436664,6032.76062332673,-1136.31619159933,6027.5339413512,-1155.62115975591,6035.3739643145,-1126.66370752104,22.6987800903356,-165.949384692153,510,500,520,480,460,490
50,,,,,,,,,,05-Nov-2017 18:53:34,05-Nov-2017 18:54:00,14-Jul-1916 00:00:00,6677.62266985227,-782.546575958176,6620.12916812139,-994.901225680571,9058.37630970833,8010.86641936464,22.7019748384024,-165.943108215995,6657.51682182291,-818.543171283571,6605.25000206757,-1011.59285284939,6754.21043837031,-461.401260386816,22.7016497679378,-165.94330390727,990,770,10100,950,750,1320
43,54,62,,,,,,,,05-Nov-2017 18:50:25,05-Nov-2017 18:54:00,14-Jul-1916 00:00:00,8794.80620038834,2560.33151006692,8685.04587890211,2154.92717877871,8928.08659076448,3052.60819805975,22.7321629971099,-165.922501557529,8702.91786307762,2450.52926297575,8551.34408578712,1890.68518643489,8896.30509617241,3164.81308476926,22.7311714181243,-165.923395911541,4770,4350,5280,4640,4060,5380
81,82,83,84,85,86,90,,,,05-Nov-2017 19:01:36,12-Sep-4035 14:06:08,05-Nov-2017 19:03:31,9521.86002785196,-1221.08260795434,9516.63334587643,-1240.38757611092,9524.47336883973,-1211.43012387605,22.6980145996524,-165.915425104452,9500.95329994982,-1298.30248058066,9495.72661797429,-1317.60744873724,9508.79332291313,-1269.34502834579,22.6973172587054,-165.915628590733,1310,1290,1320,1230,1210,1260
88,96,98,99,102,105,,,,,05-Nov-2017 19:05:46,05-Nov-2017 19:12:07,05-Nov-2017 19:06:00,11031.27353964,680.540606678819,10999.9134477868,564.710797739331,11067.8603134687,815.675383774888,22.7151873776981,-165.90073390349,11061.622050251,869.164486141876,11025.0352764222,734.029709045807,11100.8221650675,1013.95174731624,22.716890762465,-165.900438519843,3540,3420,3680,3730,3590,3880
