Cruise,AC_ID,VIS_ID,Detection Type,Mixed Species Encounter (Y/N),Array Processing Name,Hydrophones Used,Banter Score,Localization_Status,Stock,Stock Justification,Stock Overlap,LAT_AC,LON_AC,Start_Time,End_Time,Processed_StartTime,Processed_EndTime,LAT_AC_END,LON_AC_END,Notes
2023 HICEAS,2303324,N/A,AC - w/in 3 nmi,,Iiwi_30m_Moli_23,"1,6",0.6126,3. Completed,HIPelagic,Within HI pelagic assessment area,,19.780055,-162.46288,11/10/2023 21:30:38,11/10/2023 21:57:29,,,19.76399,-162.4,
2023 HICEAS,2303356,N/A,AC - w/in 3 nmi,,Iiwi_30m_Moli_23,"1,6",0.887,3. Completed,HIPelagic,Within HI pelagic assessment area,,16.41487833,-155.4274983,11/20/2023 17:06:05,11/20/2023 17:56:20,,,16.37705,-155.292,
2023 HICEAS,2303343,N/A,AC - w/in 3 nmi,,Iiwi_30m_Moli_23,"1,6",0.5177,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,19.32580167,-156.5759033,11/16/2023 22:45:18,11/17/2023 0:18:36,,,19.15501,-156.726,
2023 HICEAS,2303172,N/A,AC - w/in 3 nmi,,Iiwi_30m_Moli_23,"1,6",0.5649,3. Completed,NWHIorHIPelagic,Not possible to assign to stock with available information at present,,26.11615,-174.973935,09/25/2023 22:55:34,09/26/2023 0:13:21,,,26.03482,-174.771,
2023 HICEAS,2303056,N/A,AC - w/in 3 nmi,,Iiwi_30m_Moli_23,"1,6",0.9256,3. Completed,NWHIorHIPelagic,Not possible to assign to stock with available information at present,,22.28823167,-162.328945,08/07/2023 17:07:40,08/07/2023 17:35:18,,,22.36206,-162.343,
2023 HICEAS,2303210,N/A,AC - w/in 3 nmi,,Iiwi_30m_Moli_23,"1,6",0.5173,3. Completed,NWHIorHIPelagic,Not possible to assign to stock with available information at present,,22.14163667,-162.048475,10/02/2023 16:37:31,10/02/2023 17:49:35,,,22.09254,-161.875,
2023 HICEAS,2303309,S198,P1 - Vis Confirm,,Iiwi_30m_Moli_23,"1,6",0.9367,3. Completed,NWHIorHIPelagic,Not possible to assign to stock with available information at present,,23.71929833,-162.0545,10/31/2023 2:29:05,10/31/2023 3:52:15,,,23.65584,-161.805,
2023 HICEAS,2303130,S89,P2 - Vis Confirm,,Iiwi_30m_Moli_23,"1,6",0.7368,3. Completed,HIPelagic,Within HI pelagic assessment area,,25.55435,-162.9637317,08/28/2023 23:51:07,08/29/2023 2:00:58,,,25.46118,-162.574,
2023 HICEAS,2303155,S104,P2 - Vis Confirm,,Iiwi_30m_Moli_23,"1,6",0.912,3. Completed,HIPelagic,Within HI pelagic assessment area,,24.82751167,-176.32856,09/14/2023 17:16:07,09/14/2023 18:21:25,,,24.86188,-176.468,
2023 HICEAS,2303337,S215,P2 - Vis Confirm,,Iiwi_30m_Moli_23,"1,6",0.7114,3. Completed,MHIorHIPelagic,Not possible to assign to stock with available information,,19.50774667,-156.1846933,11/15/2023 21:28:34,11/15/2023 22:06:00,,,19.57089,-156.086,
