TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,TrackID_12,TrackID_13,TrackID_14,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
129,141,146,148,,,,,,,,,,,29-Sep-2017 23:22:03,29-Sep-2017 23:24:29,29-Sep-2017 23:24:21,-9597.1488184654,4287.6836892352,-9620.34131173573,4200.72330597992,-9568.80243780167,4393.96860210277,23.5721012587151,-175.850955401157,-9613.25599062629,4188.48409747707,-9639.02542759332,4091.86144941564,-9582.33266626585,4304.43127515078,23.5712055225557,-175.851113133591,1670,1580,1780,1570,1470,1690
152,165,166,,,,,,,,,,,,29-Sep-2017 23:25:22,30-Jun-4035 22:53:20,29-Sep-2017 23:27:11,-10600.1184057181,3747.91336118243,-10602.6953494148,3738.25109637629,-10597.5414620214,3757.57562598857,23.5672273293768,-175.860777164602,-10622.6653890077,3702.17898084842,-10625.2423327044,3692.51671604228,-10617.5115016143,3721.50351046071,23.5668143645907,-175.860997960067,890,880,900,840,830,860
162,168,172,178,,,,,,,,,,,29-Sep-2017 23:25:56,30-Mar-6053 22:21:28,29-Sep-2017 23:26:21,-10367.583636616,3572.05096850388,-10377.8914114028,3533.40190927931,-10357.2758618291,3610.70002772845,23.5656393560655,-175.858500025271,-10402.3698284085,3519.23126706043,-10410.1006594986,3490.244472642,-10394.6389973184,3548.21806147886,23.5651624134121,-175.858840675428,780,740,820,720,690,750
163,164,174,179,,,,,,,,,,,29-Sep-2017 23:26:12,30-Jun-4035 22:55:20,29-Sep-2017 23:27:47,-10696.0853513469,4125.39229482864,-10714.1239572238,4057.75644118564,-10678.04674547,4193.02814847164,23.5706358265722,-175.8617169385,-10703.1706724563,4137.63150333148,-10721.2092783332,4069.99564968849,-10679.978179186,4224.59188658677,23.5707463421643,-175.861786322805,1230,1160,1300,1240,1170,1330
153,182,184,186,189,192,,,,,,,,,29-Sep-2017 23:27:17,29-Sep-2017 23:35:54,29-Sep-2017 23:33:57,-12031.3481735989,6375.47522563621,-12044.2328920824,6327.1639016055,-12021.0403988121,6414.12428486078,23.590953255375,-175.874792744332,-11988.8311507163,6457.28172149809,-12006.8697565932,6389.64586785509,-11973.3694885361,6515.25531033495,23.5916919382175,-175.874376388595,3060,3010,3100,3150,3080,3210
183,185,188,191,195,194,196,,,,,,,,29-Sep-2017 23:29:08,30-Jun-4035 23:12:59,29-Sep-2017 23:35:35,-12422.3318545794,6966.17968745018,-12440.3704604563,6898.54383380718,-12404.2932487025,7033.81554109318,23.5962871013778,-175.878621523663,-12507.3709965706,6647.32494884747,-12527.9865461442,6570.02683039833,-12481.6015596036,6743.9475969089,23.5934079592976,-175.879454285042,3530,3460,3600,3200,3120,3300
193,202,210,,,,,,,,,,,,29-Sep-2017 23:35:59,29-Sep-2017 23:43:39,29-Sep-2017 23:40:01,-13522.5084451625,8273.85375599059,-13592.0859249735,8012.97260622474,-13445.2001342614,8563.72170017486,23.6080949216235,-175.889395204499,-13459.3758727062,8432.9583703016,-13554.7227894842,8075.45457247433,-13364.0289559282,8790.46216812888,23.6095315783036,-175.888776967216,4510,4240,4810,4680,4310,5050
190,199,201,204,,,,,,,,,,,29-Sep-2017 23:34:57,29-Sep-2017 23:41:56,29-Sep-2017 23:41:54,-14074.538366622,8648.77103461802,-14149.2697338264,8368.56535523988,-13992.0761683275,8957.96350841458,23.6114802880076,-175.894801058646,-14113.8482245052,8152.1275658467,-14183.4257043161,7891.24641608085,-14031.3860262107,8461.32003964326,23.6069957784906,-175.895186007632,4730,4440,5050,4240,3970,4560
197,200,203,206,,,,,,,,,,,29-Sep-2017 23:37:43,29-Sep-2017 23:43:58,14-Jul-1916 00:00:00,-14525.9655593906,12505.351578264,-14737.2749425202,11713.0458641603,-14265.6942460236,13481.2403236844,23.6463038047523,-175.899221742141,-14509.8583872297,12604.5511700222,-14726.3216577527,11792.9209263062,-14244.4331864693,13599.7644450549,23.6471995409117,-175.899064009707,8340,7520,9350,8440,7600,9470
205,208,211,226,237,,,,,,,,,,29-Sep-2017 23:42:08,29-Sep-2017 23:53:05,29-Sep-2017 23:48:07,-15197.8819693455,10645.6934542979,-15270.0363928532,10375.1500397259,-15117.9967147477,10945.2236632883,23.6295117696615,-175.905801606693,-15272.6082403239,10520.7295217987,-15360.2243260118,10192.2125183899,-15172.1074361525,10897.5578492383,23.6283833908952,-175.906533377393,6370,6090,6680,6230,5890,6620
214,216,221,229,231,233,236,,,,,,,,29-Sep-2017 23:45:38,29-Sep-2017 23:55:24,29-Sep-2017 23:48:21,-16043.7038571331,9298.14555750926,-16061.74246301,9230.50970386627,-16023.0883075595,9375.4436759584,23.6173439032791,-175.914084472499,-16004.4041917019,9484.30553252268,-16032.7505723656,9378.02061965511,-15976.0578110381,9590.59044539025,23.6190248600058,-175.913699623325,4850,4780,4930,5040,4930,5150
220,227,230,232,235,,,,,,,,,,29-Sep-2017 23:48:18,29-Sep-2017 23:53:36,29-Sep-2017 23:51:13,-16794.8090494454,8732.60069626349,-16836.0401485926,8578.00445936521,-16751.0010066014,8896.85919796791,23.6122372392998,-175.921439807711,-16860.5185655983,8563.83381714633,-16904.3266084423,8399.5753154419,-16814.1335790577,8737.75458365689,23.6107133358899,-175.922083280187,4110,3950,4280,3930,3760,4110
213,215,217,219,223,225,,,,,,,,,29-Sep-2017 23:45:24,29-Sep-2017 23:50:16,29-Sep-2017 23:50:16,-17008.060058743,7661.37522651702,-17038.9833831034,7545.42804884331,-16977.1367343826,7777.32240419073,23.6025644637255,-175.923528107291,-16995.8208502402,7668.46054762646,-17067.9752737479,7397.91713305447,-16926.2433704292,7929.34169739231,23.6026284415928,-175.923408252599,3020,2900,3140,3030,2750,3300
212,224,228,234,246,247,,,,,,,,,29-Sep-2017 23:45:43,30-Sep-2017 00:00:45,29-Sep-2017 23:52:43,-17538.8085357443,8775.78361403067,-17549.1163105311,8737.1345548061,-17528.5007609575,8814.43267325524,23.6126271653088,-175.928725558995,-17516.9019662094,8935.53373832236,-17558.1330653566,8780.93750142408,-17485.9786418489,9051.48091599607,23.6140696507089,-175.928511034899,3960,3920,4000,4120,3960,4240
244,248,251,245,,,,,,,,,,,29-Sep-2017 23:58:06,30-Sep-2017 00:07:08,29-Sep-2017 23:58:33,-18384.4418631708,13172.1803517632,-18490.0965547356,12776.0274947114,-18265.9024531225,13616.6445328458,23.6523250255454,-175.937006578289,-18569.9767131075,12631.7390325999,-18670.4775172789,12254.9107051604,-18454.0142467558,13066.5409488763,23.6474450374019,-175.9388234623,7990,7580,8450,7420,7030,7870
238,240,243,245,252,256,,,,,,,,,29-Sep-2017 23:53:45,30-Sep-2017 00:12:47,30-Sep-2017 00:07:51,-19668.8266101473,15108.5573351355,-19743.5579773517,14828.3516557574,-19591.5182992463,15398.4252793198,23.6698098039757,-175.949584151246,-19720.3552916295,15225.7955327706,-19844.0485890712,14762.0068220758,-19599.2389378844,15679.9219786593,23.6708684221719,-175.950088755301,9530,9240,9830,9630,9150,10100
