TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
64,,,,,,,28-Jul-2017 03:40:58,28-Jul-2017 03:41:24,28-Jul-2017 03:41:15,8447.54466163099,-2083.78816092876,8447.54466163099,-2083.78816092876,8450.06188692088,-2074.11016646504,21.1950182852932,-163.246494972022,8447.54466163099,-2083.78816092876,8447.54466163099,-2083.78816092876,8450.06188692088,-2074.11016646504,21.1950182852932,-163.246494972022,110,110,120,110,110,120
81,,,,,,,28-Jul-2017 03:49:41,28-Jul-2017 03:50:58,28-Jul-2017 03:50:30,11205.6012986783,-2563.50014414318,11031.9127536756,-3231.28176214032,11208.1185239682,-2553.82214967946,21.1906854065306,-163.219930052549,11200.5668480985,-2582.85613307064,11039.4644295453,-3202.24777874914,11200.5668480985,-2582.85613307064,21.1905105783915,-163.219978543132,340,-350,350,320,-320,320
96,,,,,,,28-Jul-2017 03:49:31,28-Jul-2017 03:51:08,14-Jul-1916 00:00:00,12247.8867930588,-1098.69949279026,12220.19731487,-1205.15743189125,12278.0934965375,-982.563559225539,21.2039158528313,-163.209891016419,12198.7150073485,-1168.57177263039,12173.5427544495,-1265.35171726766,12226.4044855373,-1062.1138335294,21.2032847489023,-163.210364626899,2020,1910,2140,1940,1840,2050
91,107,124,149,,,,28-Jul-2017 03:47:17,28-Jul-2017 03:51:44,28-Jul-2017 03:51:37,12091.522591322,-706.71704877623,12076.4192395826,-764.785015558589,12106.6259430613,-648.64908199387,21.2074563364265,-163.211397077742,12111.2694869453,-670.522296211216,12091.1316846261,-747.946251921029,12131.4072892644,-593.098340501403,21.2077832564957,-163.211206880527,2360,2300,2420,2400,2320,2480
65,68,74,83,100,133,147,28-Jul-2017 03:40:57,28-Jul-2017 03:51:28,28-Jul-2017 03:48:33,12117.2453210653,3285.35488709549,12084.5213922967,3159.54095906704,12152.4864751238,3420.84680958766,21.2435137298524,-163.21114932277,12027.9697158316,2822.93747143066,11992.728561773,2687.44554893848,12065.7280951799,2968.10738838656,21.2393370599548,-163.212009203322,6230,6100,6370,5760,5620,5910
72,79,89,113,,,,28-Jul-2017 03:42:18,28-Jul-2017 03:50:02,28-Jul-2017 03:45:44,11213.7981243248,2394.07313439233,11168.4880691067,2219.86923404525,11261.6254048327,2577.95502920313,21.2354634498657,-163.219851102751,11170.2234810049,2147.08882221937,11129.9478763666,1992.24091079975,11213.0163109331,2311.61472810273,21.233232625708,-163.22027080294,5140,4960,5330,4890,4730,5060
126,142,,,,,,28-Jul-2017 03:49:56,28-Jul-2017 03:52:09,28-Jul-2017 03:51:41,11813.4550893462,-1894.98404922056,11805.9034134765,-1924.01803261174,11821.0067652159,-1865.95006582938,21.1967236113108,-163.214075355156,11783.6392925633,-1969.89077964048,11776.0876166937,-1998.92476303166,11788.6737431431,-1950.53479071302,21.1960470349634,-163.214362533538,1140,1110,1170,1060,1030,1080
121,139,156,162,,,,28-Jul-2017 03:49:41,28-Jul-2017 03:57:59,28-Jul-2017 03:57:59,15440.3155823862,2793.0094409654,15367.3160489793,2512.34760151733,15520.8667916628,3102.70526380465,21.239066742489,-163.179142331793,15181.4796206893,2354.0288663013,15105.9628619925,2063.6890323895,15264.5480552557,2673.40268360427,21.2351017600084,-163.181635375767,6590,6300,6910,6100,5800,6430
136,145,151,159,161,,,28-Jul-2017 03:50:15,28-Jul-2017 03:52:42,14-Jul-1916 00:00:00,12377.7342366943,-1473.45226647088,12357.5964343752,-1550.8762221807,12397.8720390134,-1396.02831076107,21.2005309919333,-163.208640357953,12313.4590992446,-1601.39251309338,12293.3212969255,-1678.81646880319,12336.1141268537,-1514.29056291984,21.1993754035868,-163.209259440182,1690,1610,1770,1550,1470,1640
112,117,143,,,,,28-Jul-2017 03:48:52,28-Jul-2017 03:51:01,28-Jul-2017 03:50:24,11610.0927569593,-1087.80144177279,11582.4032787705,-1194.25938087379,11640.2994604381,-971.665508208075,21.2040142867572,-163.216034090851,11619.7707514231,-1090.31866706269,11592.0812732342,-1196.77660616368,11652.4946801917,-964.504739034242,21.2039915505481,-163.215940874802,1870,1760,1990,1870,1760,2000
93,127,,,,,,28-Jul-2017 03:47:20,28-Jul-2017 03:50:06,14-Jul-1916 00:00:00,13780.8120973874,1974.38365143949,13637.3302558635,1422.73796700707,13967.0867688395,2690.55524175526,21.2316727093564,-163.195126258973,13858.0642679824,2191.94307352542,13654.1690195011,1408.02552196356,14089.6489946525,3082.31856418827,21.2336377605383,-163.19438218517,5380,4810,6120,5610,4800,6530
123,125,150,,,,,28-Jul-2017 03:49:44,23-Feb-4035 07:39:34,14-Jul-1916 00:00:00,12325.4825338834,-1356.53451951447,12295.2758304047,-1472.67045307919,12360.7236879419,-1221.0425970223,21.2015870223025,-163.209143633432,12256.5638525498,-1462.60155191962,12228.874374361,-1569.05949102061,12284.2533307386,-1356.14361281863,21.2006289983043,-163.209807441128,1790,1670,1930,1670,1560,1780
