TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
22,35,61,85,91,,,,,13-Sep-2017 18:54:16,13-Sep-2017 19:02:10,13-Sep-2017 19:01:30,-17620.6856309686,9918.38250927966,-17646.6173953637,9821.803300361,-17592.1606901339,10024.6196390902,22.1607427331314,-160.368886130273,-17565.5141408726,10162.4237080158,-17632.9367283,9911.31776482731,-17516.2437885218,10345.9242049613,22.162946744577,-160.368351586283,5010,4910,5120,5260,5000,5450
32,40,60,83,92,,,,,13-Sep-2017 18:55:17,13-Sep-2017 19:03:07,13-Sep-2017 18:59:26,-17837.4319493903,8609.82565783964,-17847.8046551484,8571.19397427217,-17824.4660671928,8658.11526229897,22.148924752017,-160.370986135939,-17819.545677339,8522.18958494665,-17835.1047359761,8464.24205959545,-17801.3934422624,8589.79503118971,22.1481332835736,-160.370812839927,3690,3650,3740,3610,3550,3680
109,126,,,,,,,,13-Sep-2017 19:03:51,13-Sep-2017 19:08:14,13-Sep-2017 19:07:18,-20423.4939888093,7616.45607491686,-20428.6803416883,7597.14023313313,-20415.7144594908,7645.42983759246,22.1399533244801,-160.396041901477,-20394.9690479746,7722.69320472738,-20402.7485772932,7693.71944205179,-20387.1895186561,7751.66696740298,22.1409127848141,-160.395765529828,2060,2040,2090,2170,2140,2200
79,97,133,,,,,,,13-Sep-2017 19:01:09,13-Sep-2017 19:06:58,13-Sep-2017 19:06:20,-19877.9295382232,8722.82826828429,-19888.3022439812,8684.19658471683,-19867.5568324651,8761.45995185176,22.1499453134964,-160.390756051891,-19872.2943635032,8628.12745093895,-19885.2602457008,8579.83784647962,-19859.3284813056,8676.41705539828,22.1490900411636,-160.390701453968,3270,3230,3310,3180,3130,3230
53,56,67,75,93,106,132,,,13-Sep-2017 18:57:18,13-Sep-2017 19:06:33,13-Sep-2017 19:05:40,-19351.3152117895,9295.87045800051,-19361.6879175475,9257.23877443304,-19338.3493295919,9344.16006245984,22.1551206345138,-160.385653805738,-19380.5549374903,9148.408468183,-19401.3003490064,9071.14510104807,-19354.6231730952,9244.98767710166,22.1537888597355,-160.385937102774,3960,3920,4010,3810,3730,3910
114,148,165,187,,,,,,13-Sep-2017 19:05:14,13-Sep-2017 19:09:58,14-Jul-1916 00:00:00,-20974.2780930674,8727.28318590065,-20989.8371517045,8669.33566054945,-20956.1258579908,8794.88863214371,22.1499855472334,-160.401378323097,-20959.1678562713,8899.24737038092,-20977.3200913479,8831.64192413785,-20938.4224447551,8976.51073751584,22.1515386089,-160.401231923457,2990,2930,3060,3160,3090,3240
51,55,82,88,103,,,,,13-Sep-2017 18:57:05,13-Sep-2017 19:04:36,13-Sep-2017 19:03:13,-18456.2703217324,9852.82166302911,-18474.422556809,9785.21621678604,-18438.1180866558,9920.42710927217,22.1601506328784,-160.376981919848,-18430.3385573373,9949.40087194777,-18487.3884390066,9736.92661232671,-18388.847734305,10103.9276062176,22.1610228695456,-160.376730672894,4730,4660,4800,4830,4610,4990
76,96,113,125,,,,,,13-Sep-2017 19:00:37,13-Sep-2017 19:05:07,13-Sep-2017 19:04:48,-18967.2424853195,9762.22669606526,-19003.5469554727,9627.01580357914,-18928.3448387267,9907.09550944325,22.1593324417486,-160.381932612651,-19037.9730340526,9460.2379719779,-19082.0570335243,9296.05331681617,-18986.1095052623,9653.39638981522,22.1566050883026,-160.382617904813,4510,4370,4660,4200,4030,4400
140,141,143,158,,,,,,13-Sep-2017 19:06:03,29-May-4035 14:12:35,13-Sep-2017 19:09:33,-21196.9255492344,7358.18563266991,-21196.9255492344,7358.18563266991,-21194.3323727949,7367.84355356178,22.1376208043412,-160.403535503541,-21216.2413910181,7363.37198554894,-21218.8345674576,7353.71406465708,-21216.2413910181,7363.37198554894,22.1376676438961,-160.403722650329,1610,1610,1620,1610,1600,1610
108,116,129,173,199,,,,,13-Sep-2017 19:03:36,13-Sep-2017 19:10:26,13-Sep-2017 19:10:26,-20312.918346385,10496.2951376602,-20346.6296400987,10370.7421660659,-20281.8002291108,10612.1901883626,22.1659620405848,-160.394970559286,-20295.2149331493,10677.9172430323,-20326.3330504235,10562.0221923299,-20258.9104629961,10813.1281355185,22.1676023259181,-160.394799034951,4870,4740,4990,5050,4930,5190
80,94,,,,,,,,13-Sep-2017 19:01:52,29-May-4035 14:04:24,14-Jul-1916 00:00:00,-20187.4151782073,7801.56900041037,-20200.3810604049,7753.27939595104,-20171.8561195703,7859.51652576157,22.1416251364882,-160.393754587701,-20166.4869078756,7609.57418928018,-20179.4527900731,7561.28458482085,-20153.521025678,7657.86379373951,22.1398911720453,-160.393551818461,2300,2250,2360,2120,2070,2170
137,152,186,193,207,219,,,,13-Sep-2017 19:06:10,13-Sep-2017 19:12:42,13-Sep-2017 19:12:34,-21593.1995696191,9545.77949368894,-21611.3518046957,9478.17404744587,-21577.640510982,9603.72701904013,22.1573776402074,-160.407374912183,-21623.1540801862,9357.09264386445,-21649.0858445813,9260.51343494579,-21589.4427864725,9482.64561545871,22.1556735509848,-160.407665134607,3620,3550,3680,3430,3330,3560
112,139,183,202,,,,,,13-Sep-2017 19:03:50,13-Sep-2017 19:12:18,13-Sep-2017 19:11:32,-20878.8791412524,9892.40079369507,-20889.2518470104,9853.7691101276,-20865.9132590548,9940.69039815439,22.1605080842327,-160.400454024402,-21000.0436490434,9479.70337178434,-21013.009531241,9431.41376732501,-20987.0777668458,9527.99297624367,22.1567808863408,-160.401627959695,4140,4100,4190,3710,3660,3760
100,119,170,,,,,,,13-Sep-2017 19:02:42,13-Sep-2017 19:09:01,13-Sep-2017 19:09:01,-19127.6538547109,14640.7068069779,-19231.3809122915,14254.3899713032,-19013.5540913722,15065.65532622,22.2033915025026,-160.383486801839,-19129.0834244433,14558.2570869639,-19279.4876579352,13998.0976752357,-18965.7133087538,15166.7061031515,22.2026468736139,-160.383500652614,9180,8780,9620,9100,8520,9730
111,163,,,,,,,,13-Sep-2017 19:03:42,13-Sep-2017 19:08:30,13-Sep-2017 19:07:57,-19291.173528423,12065.0008229205,-19368.9688216085,11775.2631961645,-19208.1918823586,12374.0542914602,22.1801295061726,-160.385071106679,-19357.8813309842,11855.1197397389,-19484.9469765205,11381.8816160375,-19160.7999215811,12589.1217275208,22.178234005282,-160.38571742337,6650,6350,6970,6430,5940,7190
169,191,201,213,220,222,236,249,259,13-Sep-2017 19:08:33,13-Sep-2017 19:18:05,13-Sep-2017 19:17:58,-21982.7912135793,13377.8961869743,-22039.8410952486,13165.4219273533,-21920.554979031,13609.6862883791,22.1919866697345,-160.411149576804,-21886.7605811077,14159.7389573745,-21974.9285800512,13831.3696470511,-21801.1857586037,14478.4503468061,22.1990477332907,-160.410219157899,7220,7000,7460,8000,7660,8330
197,210,227,,,,,,,13-Sep-2017 19:10:16,13-Sep-2017 19:13:24,13-Sep-2017 19:13:22,-21740.6782098331,10693.2767924573,-21800.3212679419,10471.1446119444,-21673.2556224057,10944.3827356458,22.1677410427533,-160.408803799107,-21812.6554694829,10039.5801700908,-21859.3326453942,9865.73759403724,-21758.1987642531,10242.39650882,22.1618373066419,-160.409501170366,4690,4460,4950,4040,3860,4250
179,182,195,206,218,223,237,247,,13-Sep-2017 19:09:05,13-Sep-2017 19:15:48,13-Sep-2017 19:14:11,-22075.0317621114,10296.4043922089,-22106.1498793855,10180.5093415065,-22041.3204683977,10421.9573638032,22.1641567655201,-160.41204327445,-22008.3239595502,10506.2854753904,-22062.78066478,10303.4691366613,-21959.0536071994,10689.7859723359,22.1660522664107,-160.411396957759,4220,4100,4350,4440,4230,4630
181,198,239,255,,,,,,13-Sep-2017 19:09:14,13-Sep-2017 19:17:11,14-Jul-1916 00:00:00,-22957.6759968143,11713.7748995025,-23009.5395256046,11520.6164816652,-22903.2192915845,11916.5912382317,22.176957476371,-160.420595013218,-22918.5123871963,12013.8852320165,-22996.3076803818,11724.1476052605,-22843.3102704504,12293.9649378806,22.1796678654825,-160.420215565932,5360,5160,5570,5660,5360,5950
233,251,254,,,,,,,13-Sep-2017 19:13:33,13-Sep-2017 19:17:18,13-Sep-2017 19:16:15,-21713.4332807081,12684.3211701237,-21809.3808089702,12326.9780971246,-21604.5198702485,13089.953847582,22.1857227795248,-160.4085398292,-21700.4673985105,12732.610774583,-21835.3125733653,12230.398888206,-21552.6563414582,13283.1122654194,22.1861588978584,-160.408414205723,6620,6250,7040,6670,6150,7240
205,240,,,,,,,,13-Sep-2017 19:10:54,13-Sep-2017 19:14:34,14-Jul-1916 00:00:00,-22513.2620777658,13561.7457511546,-22738.8684280036,12721.5066335623,-22215.0467872215,14672.4066537192,22.1936470719363,-160.416289188072,-22451.7406280836,13752.3109925524,-22731.8036835512,12709.2555362309,-22104.2549851886,15046.4723920625,22.1953681254935,-160.415693120771,7260,6390,8410,7460,6380,8800
59,70,78,,,,,,,13-Sep-2017 18:59:21,13-Sep-2017 19:00:52,14-Jul-1916 00:00:00,-18666.7331343811,6948.03158378207,-18708.2239574134,6793.50484951221,-18620.0559584699,7121.87415983566,22.1339165764367,-160.379021046059,-18657.0752134893,6945.43840734255,-18706.3455658401,6761.9379103971,-18600.0253318199,7157.91266696361,22.1338931566593,-160.378927472665,1870,1710,2050,1870,1680,2090
