TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
31,46,58,81,101,,,15-May-2024 03:38:04,15-May-2024 03:42:55,14-Jul-1916 00:00:00,-350.405584180628,8862.0109562965,-612.392484534168,8322.23057128501,-36.0213037563808,9509.74741831027,14.5650439640939,-155.3174289346,-366.55416217883,8714.22995809769,-650.373304228498,8129.46787433525,-39.070536736906,9388.95543936204,14.5637082416452,-155.317578728952,7820,7220,8540,7680,7030,8430
49,63,80,111,,,,15-May-2024 03:39:13,15-May-2024 03:45:39,15-May-2024 03:42:33,-1204.95726067392,3574.45562020757,-1226.78950237005,3529.47392145661,-1187.49146731702,3610.44097920833,14.5172522557765,-155.325355763459,-1232.20972299623,3609.91409306485,-1258.40841303159,3555.9360545637,-1210.3774813001,3654.89579181581,14.5175727481183,-155.325608557539,2690,2640,2730,2710,2650,2760
62,91,113,,,,,15-May-2024 03:40:17,15-May-2024 03:45:23,15-May-2024 03:41:53,-955.279376122835,4020.16960244965,-1012.04320453277,3903.21718569716,-898.515547712901,4137.12201920214,14.5212808533567,-155.323039749209,-956.069705338056,4087.24698596847,-1012.83353374799,3970.29456921599,-899.305876928122,4204.19940272096,14.5218871340563,-155.32304708031,3200,3070,3330,3260,3130,3390
23,,,,,,,15-May-2024 03:41:07,15-May-2024 03:41:40,14-Jul-1916 00:00:00,-2190.68153774093,2207.69022351334,-2247.44536615086,2090.73780676085,-2112.08546763487,2369.62433901679,14.5048987107023,-155.334499350514,-2195.04798608015,2198.69388376315,-2247.44536615086,2090.73780676085,-2116.45191597409,2360.62799926659,14.5048173970482,-155.334539853727,1030,900,1210,1020,900,1200
45,61,,,,,,15-May-2024 03:39:06,15-May-2024 03:40:44,15-May-2024 03:40:43,-1222.08680238975,2371.1657221362,-1248.28549242511,2317.18768363505,-1195.8881123544,2425.14376063735,14.5063762883068,-155.325514657239,-1174.05587065827,2470.1254593883,-1213.3539057113,2389.15840163658,-1139.12428394447,2542.09617738983,14.5072707385011,-155.325069121894,1600,1540,1660,1710,1620,1790
59,97,,,,,,15-May-2024 03:41:24,15-May-2024 03:42:19,14-Jul-1916 00:00:00,-2184.76796422956,3983.32110566434,-2403.09038119084,3533.50411815477,-1804.88695871693,4766.00266393099,14.520947797247,-155.334444496154,-2195.23287852983,3732.74080801768,-2378.62370877731,3354.89453850964,-1898.31439146249,4344.49191103069,14.5186829206199,-155.334541568791,2630,2130,3500,2400,1980,3080
116,119,,,,,,15-May-2024 03:45:56,15-May-2024 03:47:37,15-May-2024 03:47:12,-3386.77992225326,3132.81110997467,-3417.34506062784,3069.83673172333,-3356.21478387868,3195.78548822601,14.5132604402264,-155.345594369637,-3378.31046864654,3173.16291731466,-3430.70784871725,3065.20684031237,-3330.27953691506,3272.12265456677,14.5136251611009,-155.345515806911,1340,1270,1410,1380,1260,1490
74,100,104,112,117,118,,15-May-2024 03:41:16,15-May-2024 03:46:55,15-May-2024 03:43:36,-2204.26849359105,2981.26335814944,-2213.00139026951,2963.27067864906,-2195.5355969126,2999.25603764983,14.5118906718758,-155.334625383236,-2190.6422624299,2963.5341217208,-2199.37515910835,2945.54144222042,-2181.90936575145,2981.52680122118,14.5117304257048,-155.334498986196,1720,1700,1740,1710,1690,1730
70,82,102,106,107,115,,15-May-2024 03:40:45,15-May-2024 03:45:49,15-May-2024 03:43:03,-1859.47043398361,3325.23181323064,-1876.93622734052,3289.24645422987,-1842.00464062671,3361.2171722314,14.5149996398261,-155.331427033406,-1854.31365642917,3267.150769462,-1876.1458981253,3222.16907071105,-1828.11496639381,3321.12880796315,14.5144746727806,-155.331379199092,2180,2140,2220,2130,2080,2190
87,108,110,,,,,15-May-2024 03:41:41,15-May-2024 03:45:21,15-May-2024 03:41:56,-1222.0082517677,3882.85351855112,-1256.9398384815,3810.88280054959,-1187.07666505389,3954.82423655265,14.5200397183119,-155.325513928603,-1239.4740451246,3846.86815955035,-1291.87142519531,3738.91208254806,-1178.34376837544,3972.81691605303,14.5197144636958,-155.325675941455,2960,2880,3040,2920,2800,3060
67,94,,,,,,15-May-2024 03:40:32,15-May-2024 03:41:58,15-May-2024 03:41:54,-2017.38009484163,1923.49555451158,-2030.47943985931,1896.506535261,-1999.91430148473,1959.48091351234,14.5023300096934,-155.332891804807,-1995.5478531455,1968.47725326253,-2026.11299152008,1905.50287501119,-1969.34916311015,2022.45529176368,14.5027365779635,-155.332689288741,850,820,890,900,830,960
